SSL pretraining | backbone=efficientnet_b3 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml', 'configs/ssl_continual_v4_0_eff.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=False | feature_dim=1536
  [ep 6 step 10650] loss=5.5589 feat_std=0.0217 lr=0.00037 m=0.99616
  [ep 6 step 10700] loss=5.7494 feat_std=0.0215 lr=0.00037 m=0.99616
  [ep 6 step 10750] loss=5.6528 feat_std=0.0216 lr=0.00037 m=0.99616
  [ep 6 step 10800] loss=5.7406 feat_std=0.0216 lr=0.00037 m=0.99616
  [ep 6 step 10850] loss=5.6042 feat_std=0.0216 lr=0.00037 m=0.99616
  [ep 6 step 10900] loss=5.6539 feat_std=0.0216 lr=0.00037 m=0.99617
  [ep 6 step 10950] loss=5.6409 feat_std=0.0217 lr=0.00037 m=0.99617
  [ep 6 step 11000] loss=5.8553 feat_std=0.0215 lr=0.00037 m=0.99617
  [ep 6 step 11050] loss=5.6557 feat_std=0.0217 lr=0.00037 m=0.99617
  [ep 6 step 11100] loss=5.7384 feat_std=0.0215 lr=0.00037 m=0.99617
  [ep 6 step 11150] loss=5.6789 feat_std=0.0216 lr=0.00037 m=0.99617
  [ep 6 step 11200] loss=5.7534 feat_std=0.0217 lr=0.00037 m=0.99617
  [ep 6 step 11250] loss=5.5915 feat_std=0.0217 lr=0.00037 m=0.99618
  [ep 6 step 11300] loss=5.6383 feat_std=0.0218 lr=0.00037 m=0.99618
  [ep 6 step 11350] loss=5.7000 feat_std=0.0215 lr=0.00037 m=0.99618
  [ep 6 step 11400] loss=5.6596 feat_std=0.0216 lr=0.00037 m=0.99618
  [ep 6 step 11450] loss=5.7086 feat_std=0.0219 lr=0.00037 m=0.99618
  [ep 6 step 11500] loss=5.6422 feat_std=0.0217 lr=0.00037 m=0.99618
  [ep 6 step 11550] loss=5.6096 feat_std=0.0215 lr=0.00037 m=0.99619
  [ep 6 step 11600] loss=5.6146 feat_std=0.0215 lr=0.00037 m=0.99619
  [ep 6 step 11650] loss=5.4742 feat_std=0.0216 lr=0.00037 m=0.99619
  [ep 6 step 11700] loss=5.6346 feat_std=0.0215 lr=0.00037 m=0.99619
  [ep 7 step 11750] loss=5.4544 feat_std=0.0218 lr=0.00037 m=0.99619
  [ep 7 step 11800] loss=5.6231 feat_std=0.0217 lr=0.00037 m=0.99619
  [ep 7 step 11850] loss=5.6103 feat_std=0.0215 lr=0.00037 m=0.99619
  [ep 7 step 11900] loss=5.5180 feat_std=0.0216 lr=0.00037 m=0.99620
  [ep 7 step 11950] loss=5.4987 feat_std=0.0217 lr=0.00037 m=0.99620
  [ep 7 step 12000] loss=5.6483 feat_std=0.0215 lr=0.00037 m=0.99620
  [ep 7 step 12050] loss=5.4051 feat_std=0.0217 lr=0.00037 m=0.99620
  [ep 7 step 12100] loss=5.6207 feat_std=0.0216 lr=0.00037 m=0.99620
  [ep 7 step 12150] loss=5.5998 feat_std=0.0217 lr=0.00037 m=0.99620
  [ep 7 step 12200] loss=5.6792 feat_std=0.0218 lr=0.00037 m=0.99621
  [ep 7 step 12250] loss=5.5685 feat_std=0.0216 lr=0.00037 m=0.99621
  [ep 7 step 12300] loss=5.5558 feat_std=0.0217 lr=0.00037 m=0.99621
  [ep 7 step 12350] loss=5.5170 feat_std=0.0216 lr=0.00037 m=0.99621
  [ep 7 step 12400] loss=5.6650 feat_std=0.0217 lr=0.00037 m=0.99621
  [ep 7 step 12450] loss=5.5813 feat_std=0.0215 lr=0.00037 m=0.99621
  [ep 7 step 12500] loss=5.4713 feat_std=0.0216 lr=0.00037 m=0.99622
  [ep 7 step 12550] loss=5.5318 feat_std=0.0215 lr=0.00037 m=0.99622
  [ep 7 step 12600] loss=5.6556 feat_std=0.0216 lr=0.00037 m=0.99622
  [ep 7 step 12650] loss=5.6242 feat_std=0.0217 lr=0.00037 m=0.99622
  [ep 7 step 12700] loss=5.6706 feat_std=0.0217 lr=0.00037 m=0.99622
  [ep 7 step 12750] loss=5.5124 feat_std=0.0216 lr=0.00037 m=0.99622
  [ep 7 step 12800] loss=5.4556 feat_std=0.0217 lr=0.00037 m=0.99623
  [ep 7 step 12850] loss=5.5752 feat_std=0.0215 lr=0.00037 m=0.99623
  [ep 7 step 12900] loss=5.4917 feat_std=0.0218 lr=0.00037 m=0.99623
  [ep 7 step 12950] loss=5.4936 feat_std=0.0217 lr=0.00037 m=0.99623
  [ep 7 step 13000] loss=5.4566 feat_std=0.0217 lr=0.00037 m=0.99623
  [ep 7 step 13050] loss=5.5201 feat_std=0.0216 lr=0.00037 m=0.99624
  [ep 7 step 13100] loss=5.5053 feat_std=0.0216 lr=0.00037 m=0.99624
  [ep 7 step 13150] loss=5.5273 feat_std=0.0218 lr=0.00037 m=0.99624
  [ep 7 step 13200] loss=5.4393 feat_std=0.0216 lr=0.00037 m=0.99624
  [ep 7 step 13250] loss=5.5081 feat_std=0.0216 lr=0.00036 m=0.99624
  [ep 7 step 13300] loss=5.3677 feat_std=0.0216 lr=0.00036 m=0.99624
  [ep 7 step 13350] loss=5.4781 feat_std=0.0216 lr=0.00036 m=0.99625
  [ep 8 step 13400] loss=5.4441 feat_std=0.0214 lr=0.00036 m=0.99625
  [ep 8 step 13450] loss=5.6363 feat_std=0.0216 lr=0.00036 m=0.99625
  [ep 8 step 13500] loss=5.5326 feat_std=0.0215 lr=0.00036 m=0.99625
  [ep 8 step 13550] loss=5.4670 feat_std=0.0217 lr=0.00036 m=0.99625
  [ep 8 step 13600] loss=5.4071 feat_std=0.0216 lr=0.00036 m=0.99625
  [ep 8 step 13650] loss=5.3940 feat_std=0.0216 lr=0.00036 m=0.99626
  [ep 8 step 13700] loss=5.5441 feat_std=0.0215 lr=0.00036 m=0.99626
  [ep 8 step 13750] loss=5.4364 feat_std=0.0216 lr=0.00036 m=0.99626
  [ep 8 step 13800] loss=5.3651 feat_std=0.0217 lr=0.00036 m=0.99626
  [ep 8 step 13850] loss=5.5823 feat_std=0.0218 lr=0.00036 m=0.99626
  [ep 8 step 13900] loss=5.3762 feat_std=0.0217 lr=0.00036 m=0.99627
  [ep 8 step 13950] loss=5.4315 feat_std=0.0216 lr=0.00036 m=0.99627
  [ep 8 step 14000] loss=5.4388 feat_std=0.0215 lr=0.00036 m=0.99627
  [ep 8 step 14050] loss=5.4688 feat_std=0.0217 lr=0.00036 m=0.99627
  [ep 8 step 14100] loss=5.4157 feat_std=0.0218 lr=0.00036 m=0.99627
